car,task,submit_time,deadline_time,response_time,processing_time,service_response_time,uplink_time,downlink_time,sinr_ul,sinr_dl,cqi_ul,cqi_dl,distance,request_queue_size,harq_error_rate_ul,harq_tx_attempts_ul,rlc_packet_loss_ul,rlc_throughput_ul,task_success
0,27,90.999,91.34899999999999,0.21,0.0004599113275,0.005779798346,0.19900311245,0.004757177877,18.137047250733,30.69066492104,10.0,14.0,379.33353998457,,0.0,1.0,0.0,18731.393150745,1.0
1,0,6.857,7.207,0.163,2.2928155e-05,0.023497087069,0.13500311165,0.004476873126,22.861613459971,35.128112147163,12.0,14.0,409.33822569759,,0.0,1.0,0.0,8913.3108800703,1.0
1,1,10.066,10.416,0.209,2.47751825e-05,6.645175e-06,0.20400311165,0.004965467992,13.989039876543,29.57391127927,8.0,14.0,420.76603817924,,0.0,1.0,0.0,12099.99006063,1.0
1,2,13.277,13.626999999999999,0.211,5.046147e-05,0.00039372354,0.2060031117,0.00455270329,14.233439476344,40.314617388442,8.0,15.0,398.76727399084,,0.0,1.0,0.0,13758.815551537,1.0
1,3,16.411,16.761000000000003,0.134,6.860811e-05,0.004437761858,0.12500311175,0.004490518282,20.426219837097,33.105738396628,12.0,14.0,378.5987013662,,0.0,1.0,0.0,14844.287282039,1.0
1,4,19.525,19.875,0.114,7.6087245e-05,0.004629707317,0.10500909575,0.004285109688,26.931345016911,30.457052809838,13.0,14.0,357.5009663828,,0.0,3.0,0.0,15594.640295142,1.0
1,5,22.667,23.017000000000003,0.142,9.373017e-05,0.009818054821,0.1280031118,0.004085103209,28.507715439647,44.103222198425,14.0,15.0,337.9569173343,,0.0,1.0,0.0,16122.103032711,1.0
1,6,25.801,26.151,0.134,0.0001131753125,0.00504089817,0.12400311185,0.004842814667,22.343384818303,46.430940733181,12.0,15.0,317.87234165464,,0.0,1.0,0.0,16520.607964018,1.0
1,7,28.977,29.327,0.176,0.0001272009875,0.007084694967,0.16400311185,0.004784992195,18.244682045377,40.24294187627,10.0,15.0,297.27384083438,,0.0,1.0,0.0,16811.738304851,1.0
1,8,32.099,32.449,0.122,0.00015054378,0.002128860334,0.1150031119,0.004717483986,24.913424920604,46.218731990232,13.0,15.0,278.50922101849,,0.0,1.0,0.0,17070.32905397,1.0
